tname,tnameLastToken,attname,attNameLastToken,attNameFirstToken
1. FC Nuremberg II,II,away,away,away
1. FC Nuremberg II,II,date,date,date
1. FC Nuremberg II,II,home,home,home
1. FC Nuremberg II,II,result,result,result
1. FC Nuremberg II,II,round,round,round
1. FC Nuremberg II,II,season,season,season
10 metre air pistol records,records,comp,comp,comp
10 metre air pistol records,records,date,date,date
10 metre air pistol records,records,place,place,place
10 metre air pistol records,records,score,score,score
10 metre air pistol records,records,shooter,shooter,shooter
100 Miles of Norisring,Norisring,chassis - engine,engine,chassis
100 Miles of Norisring,Norisring,class,class,class
100 Miles of Norisring,Norisring,driver,driver,driver
100 Miles of Norisring,Norisring,laps,laps,laps
100 Miles of Norisring,Norisring,team,team,team
2. Football-Bundesliga,Football-Bundesliga,head coach,coach,head
2. Football-Bundesliga,Football-Bundesliga,kitmaker,kitmaker,kitmaker
2. Football-Bundesliga,Football-Bundesliga,shirt sponsor,sponsor,shirt
2. Football-Bundesliga,Football-Bundesliga,team captain,captain,team
2. Football-Bundesliga,Football-Bundesliga,team,team,team
2. Football-Bundesliga,Football-Bundesliga,date of vacancy,vacancy,date
2. Football-Bundesliga,Football-Bundesliga,date of appointment,appointment,date
2. Football-Bundesliga,Football-Bundesliga,manner of departure,departure,manner
2. Football-Bundesliga,Football-Bundesliga,outgoing manager,manager,outgoing
2. Football-Bundesliga,Football-Bundesliga,position in table,table,position
2. Football-Bundesliga,Football-Bundesliga,replaced by,by,replaced
200 Miles of Norisring,Norisring,chassis - engine,engine,chassis
200 Miles of Norisring,Norisring,class,class,class
200 Miles of Norisring,Norisring,driver,driver,driver
200 Miles of Norisring,Norisring,laps,laps,laps
200 Miles of Norisring,Norisring,team,team,team
3. Football-Liga,Football-Liga,date of vacancy,vacancy,date
3. Football-Liga,Football-Liga,date of appointment,appointment,date
3. Football-Liga,Football-Liga,manner of departure,departure,manner
3. Football-Liga,Football-Liga,outgoing manager,manager,outgoing
3. Football-Liga,Football-Liga,replaced by,by,replaced
3. Football-Liga,Football-Liga,team,team,team
3. Football-Liga,Football-Liga,position in table,table,position
6 Hours of Watkins Glen,Glen,championship,championship,championship
6 Hours of Watkins Glen,Glen,drivers,drivers,drivers
6 Hours of Watkins Glen,Glen,duration / distance,distance,duration
6 Hours of Watkins Glen,Glen,race title,title,race
6 Hours of Watkins Glen,Glen,team,team,team
6 Hours of Watkins Glen,Glen,year,year,year
8 out of 10 Cats episodes,episodes,episode,episode,episode
8 out of 10 Cats episodes,episodes,first broadcast,broadcast,first
8 out of 10 Cats episodes,episodes,jons team,team,jons
8 out of 10 Cats episodes,episodes,scores,scores,scores
8 out of 10 Cats episodes,episodes,seans team,team,seans
A League of Their Own episodes,episodes,andrew and georgies guest,guest,andrew
A League of Their Own episodes,episodes,episode,episode,episode
A League of Their Own episodes,episodes,first broadcast,broadcast,first
A League of Their Own episodes,episodes,jamie and johns guest,guest,jamie
A League of Their Own episodes,episodes,scores,scores,scores
A Pup Named Scooby-Doo episodes,episodes,dvd volume,volume,dvd
A Pup Named Scooby-Doo episodes,episodes,episode title,title,episode
A Pup Named Scooby-Doo episodes,episodes,identity,identity,identity
A Pup Named Scooby-Doo episodes,episodes,original airdate,airdate,original
A Pup Named Scooby-Doo episodes,episodes,reason,reason,reason
A Pup Named Scooby-Doo episodes,episodes,villain,villain,villain
A.C. Milan season,season,competition,competition,competition
A.C. Milan season,season,final position,position,final
A.C. Milan season,season,final round,round,final
A.C. Milan season,season,first match,match,first
A.C. Milan season,season,last match,match,last
A.C. Milan season,season,started round,round,started
A.C. Milan season,season,date,date,date
A.C. Milan season,season,home / away,away,home
A.C. Milan season,season,match,match,match
A.C. Milan season,season,opponent team,team,opponent
A.C. Milan season,season,round,round,round
A.C. Milan season,season,score,score,score
A.C. Milan season,season,scorers,scorers,scorers
A.S. Roma season,season,competition,competition,competition
A.S. Roma season,season,date and time,time,date
A.S. Roma season,season,opponent team,team,opponent
A.S. Roma season,season,result,result,result
A.S. Roma season,season,round,round,round
A1 Grand Prix records,records,driver,driver,driver
A1 Grand Prix records,records,feature,feature,feature
A1 Grand Prix records,records,sprint,sprint,sprint
A1 Grand Prix records,records,starts,starts,starts
A1 Grand Prix records,records,wins,wins,wins
A1 Grand Prix season,season,circuit,circuit,circuit
A1 Grand Prix season,season,country,country,country
A1 Grand Prix season,season,date,date,date
A1 Grand Prix season,season,feature winner,winner,feature
A1 Grand Prix season,season,report,report,report
A1 Grand Prix season,season,sprint winner,winner,sprint
A1 Grand Prix seasons,seasons,champion,champion,champion
A1 Grand Prix seasons,seasons,chassis,chassis,chassis
A1 Grand Prix seasons,seasons,drivers,drivers,drivers
A1 Grand Prix seasons,seasons,engine,engine,engine
A1 Grand Prix seasons,seasons,rounds,rounds,rounds
A1 Grand Prix seasons,seasons,season,season,season
A1 Grand Prix seasons,seasons,second,second,second
A1 Grand Prix seasons,seasons,teams,teams,teams
A1 Grand Prix seasons,seasons,third,third,third
A1 Grand Prix seasons,seasons,tyres,tyres,tyres
Aaron Stone episodes,episodes,directed by,by,directed
Aaron Stone episodes,episodes,no in series,series,no
Aaron Stone episodes,episodes,no in season,season,no
Aaron Stone episodes,episodes,original us air date,date,original
Aaron Stone episodes,episodes,prod code,code,prod
Aaron Stone episodes,episodes,title,title,title
Aaron Stone episodes,episodes,written by,by,written
ABA champions,champions,championships,championships,championships
ABA champions,champions,finals appearances,appearances,finals
ABA champions,champions,runners - up,up,runners
ABA champions,champions,teams,teams,teams
ABA champions,champions,years won,won,years
ABA champions,champions,years runners - up,up,years
Aberdeen F.C. season,season,attendance,attendance,attendance
Aberdeen F.C. season,season,date,date,date
Aberdeen F.C. season,season,match day,day,match
Aberdeen F.C. season,season,opponent,opponent,opponent
Aberdeen F.C. season,season,report,report,report
Aberdeen F.C. season,season,score,score,score
Aberdeen F.C. season,season,venue,venue,venue
Aberdeen F.C. season,season,league position,position,league
Aberdeen F.C. statistics and records,records,europe,europe,europe
Aberdeen F.C. statistics and records,records,league,league,league
Aberdeen F.C. statistics and records,records,league cup,cup,league
Aberdeen F.C. statistics and records,records,name,name,name
Aberdeen F.C. statistics and records,records,scottish cup,cup,scottish
Aberdeen F.C. statistics and records,records,total,total,total
Aberdeen F.C. statistics and records,records,years,years,years
Acadie-Bathurst Titan,Titan,games,games,games
Acadie-Bathurst Titan,Titan,goals against,against,goals
Acadie-Bathurst Titan,Titan,goals for,for,goals
Acadie-Bathurst Titan,Titan,lost,lost,lost
Acadie-Bathurst Titan,Titan,points,points,points
Acadie-Bathurst Titan,Titan,season,season,season
Acadie-Bathurst Titan,Titan,standing,standing,standing
Acadie-Bathurst Titan,Titan,tied,tied,tied
ACB season,season,games,games,games
ACB season,season,name,name,name
ACB season,season,points,points,points
ACB season,season,rank,rank,rank
ACB season,season,team,team,team
ACC-Big Ten Challenge,Challenge,acc team,team,acc
ACC-Big Ten Challenge,Challenge,attendance,attendance,attendance
ACC-Big Ten Challenge,Challenge,big ten team,team,big
ACC-Big Ten Challenge,Challenge,challenge leader,leader,challenge
ACC-Big Ten Challenge,Challenge,date,date,date
ACC-Big Ten Challenge,Challenge,location,location,location
ACC-Big Ten Challenge,Challenge,television,television,television
ACC-Big Ten Challenge,Challenge,time,time,time
ACC-Big Ten Challenge,Challenge,winner,winner,winner
active Indonesian Navy ships,ships,class,class,class
active Indonesian Navy ships,ships,hull numbers,numbers,hull
active Indonesian Navy ships,ships,note,note,note
active Indonesian Navy ships,ships,origin,origin,origin
active Indonesian Navy ships,ships,previously,previously,previously
active Indonesian Navy ships,ships,service years,years,service
active Indonesian Navy ships,ships,ship name,name,ship
active sumo wrestlers,wrestlers,birthplace,birthplace,birthplace
active sumo wrestlers,wrestlers,career and other notes,notes,career
active sumo wrestlers,wrestlers,current rank,rank,current
active sumo wrestlers,wrestlers,debut,debut,debut
active sumo wrestlers,wrestlers,ring name,name,ring
active sumo wrestlers,wrestlers,stable,stable,stable
actors nominated for two Academy Awards in the same year,year,actor / actress,actress,actor
actors nominated for two Academy Awards in the same year,year,category,category,category
actors nominated for two Academy Awards in the same year,year,film title used in nomination,nomination,film
actors nominated for two Academy Awards in the same year,year,result,result,result
actors nominated for two Academy Awards in the same year,year,year,year,year
Adventures of Superman episodes,episodes,directed by :,:,directed
Adventures of Superman episodes,episodes,original air date,date,original
Adventures of Superman episodes,episodes,season,season,season
Adventures of Superman episodes,episodes,series,series,series
Adventures of Superman episodes,episodes,title,title,title
Adventures of Superman episodes,episodes,written by :,:,written
AFC Champions League,League,afc cup,cup,afc
AFC Champions League,League,clubs,clubs,clubs
AFC Champions League,League,group stage,stage,group
AFC Champions League,League,member association,association,member
AFC Champions League,League,play - off,off,play
AFC Champions League,League,points,points,points
AFC Champions League,League,pos,pos,pos
AFL debuts in,in,club,club,club
AFL debuts in,in,debut round,round,debut
AFL debuts in,in,games,games,games
AFL debuts in,in,goals,goals,goals
AFL debuts in,in,name,name,name
AFL debuts in,in,previous club,club,previous
AFL Goal of the Year,Year,ground,ground,ground
AFL Goal of the Year,Year,match,match,match
AFL Goal of the Year,Year,nominees,nominees,nominees
AFL Goal of the Year,Year,round,round,round
AFL Goal of the Year,Year,team,team,team
AFL season,season,away team,team,away
AFL season,season,away team score,score,away
AFL season,season,crowd,crowd,crowd
AFL season,season,date,date,date
AFL season,season,ground,ground,ground
AFL season,season,home team score,score,home
AFL season,season,home team,team,home
AFL season,season,report,report,report
African Cup of Champions Clubs,Clubs,agg,agg,agg
African Cup of Champions Clubs,Clubs,team 2,2,team
African Cup of Champions Clubs,Clubs,team 1,1,team
African Judo Championships,Championships,bronze,bronze,bronze
African Judo Championships,Championships,gold,gold,gold
African Judo Championships,Championships,nation,nation,nation
African Judo Championships,Championships,rank,rank,rank
African Judo Championships,Championships,silver,silver,silver
African Judo Championships,Championships,total,total,total
African Swimming Championships,Championships,bronze,bronze,bronze
African Swimming Championships,Championships,gold,gold,gold
African Swimming Championships,Championships,nation,nation,nation
African Swimming Championships,Championships,rank,rank,rank
African Swimming Championships,Championships,silver,silver,silver
African Swimming Championships,Championships,total,total,total
African Youth Championship,Championship,agg,agg,agg
African Youth Championship,Championship,team 2,2,team
African Youth Championship,Championship,team 1,1,team
Agatha Christie's Poirot episodes,episodes,actor,actor,actor
Agatha Christie's Poirot episodes,episodes,character,character,character
Agatha Christie's Poirot episodes,episodes,series,series,series
Agatha Christie's Poirot episodes,episodes,title / rank,rank,title
Agatha Christie's Poirot episodes,episodes,years,years,years
AIBA European Olympic Qualifying Tournament,Tournament,bronze,bronze,bronze
AIBA European Olympic Qualifying Tournament,Tournament,gold,gold,gold
AIBA European Olympic Qualifying Tournament,Tournament,nation,nation,nation
AIBA European Olympic Qualifying Tournament,Tournament,rank,rank,rank
AIBA European Olympic Qualifying Tournament,Tournament,silver,silver,silver
AIBA European Olympic Qualifying Tournament,Tournament,total,total,total
Air New Zealand Cup,Cup,average,average,average
Air New Zealand Cup,Cup,highest,highest,highest
Air New Zealand Cup,Cup,lowest,lowest,lowest
Air New Zealand Cup,Cup,played,played,played
Air New Zealand Cup,Cup,team,team,team
Air New Zealand Cup,Cup,total,total,total
airlines of Indonesia,Indonesia,airline,airline,airline
airlines of Indonesia,Indonesia,easa,easa,easa
airlines of Indonesia,Indonesia,fleet size,size,fleet
airlines of Indonesia,Indonesia,iasa,iasa,iasa
airlines of Indonesia,Indonesia,iosa,iosa,iosa
airlines of Indonesia,Indonesia,notes,notes,notes
airlines of Singapore,Singapore,airlines,airlines,airlines
airlines of Singapore,Singapore,callsign,callsign,callsign
airlines of Singapore,Singapore,commenced operations,operations,commenced
airlines of Singapore,Singapore,iata,iata,iata
airlines of Singapore,Singapore,icao,icao,icao
airlines of Tunisia,Tunisia,airline,airline,airline
airlines of Tunisia,Tunisia,callsign,callsign,callsign
airlines of Tunisia,Tunisia,commenced operations,operations,commenced
airlines of Tunisia,Tunisia,icao,icao,icao
airports in Romania,Romania,airport,airport,airport
airports in Romania,Romania,city,city,city
airports in Romania,Romania,code,code,code
airports in Romania,Romania,rank,rank,rank
Alabama Crimson Tide men's basketball team,team,height,height,height
Alabama Crimson Tide men's basketball team,team,home town,town,home
Alabama Crimson Tide men's basketball team,team,last school,school,last
Alabama Crimson Tide men's basketball team,team,name,name,name
Alabama Crimson Tide men's basketball team,team,position,position,position
Alabama Crimson Tide men's basketball team,team,weight,weight,weight
Alabama Crimson Tide men's basketball team,team,year,year,year
Albany Great Danes men's basketball team,team,date,date,date
Albany Great Danes men's basketball team,team,game,game,game
Albany Great Danes men's basketball team,team,high assists,assists,high
Albany Great Danes men's basketball team,team,high rebounds,rebounds,high
Albany Great Danes men's basketball team,team,high points,points,high
Albany Great Danes men's basketball team,team,location attendance,attendance,location
Albany Great Danes men's basketball team,team,record,record,record
Albany Great Danes men's basketball team,team,score,score,score
Albany Great Danes men's basketball team,team,team,team,team
Alberta Scotties Tournament of Hearts,Hearts,blank ends,ends,blank
Alberta Scotties Tournament of Hearts,Hearts,ends won,won,ends
Alberta Scotties Tournament of Hearts,Hearts,ends lost,lost,ends
Alberta Scotties Tournament of Hearts,Hearts,l,l,l
Alberta Scotties Tournament of Hearts,Hearts,pa,pa,pa
Alberta Scotties Tournament of Hearts,Hearts,pf,pf,pf
Alberta Scotties Tournament of Hearts,Hearts,skip,skip,skip
Alberta Scotties Tournament of Hearts,Hearts,stolen ends,ends,stolen
Alberta Scotties Tournament of Hearts,Hearts,w,w,w
Aldershot Town F.C. season,season,away result,result,away
Aldershot Town F.C. season,season,fans brought,brought,fans
Aldershot Town F.C. season,season,fans took,took,fans
Aldershot Town F.C. season,season,home result,result,home
Aldershot Town F.C. season,season,miles,miles,miles
Aldershot Town F.C. season,season,points gained,gained,points
Aldershot Town F.C. season,season,team,team,team
Aldershot Town F.C. season,season,adam hinshelwood,hinshelwood,adam
Aldershot Town F.C. season,season,aldershot town,town,aldershot
Aldershot Town F.C. season,season,df,df,df
Aldershot Town F.C. season,season,undisclosed,undisclosed,undisclosed
Aldershot Town F.C. season,season,wycombe wanderers,wanderers,wycombe
A-League,A-League,attendance,attendance,attendance
A-League,A-League,away,away,away
A-League,A-League,date,date,date
A-League,A-League,home,home,home
A-League,A-League,round,round,round
A-League,A-League,score,score,score
A-League,A-League,time of day,day,time
A-League,A-League,venue,venue,venue
A-League,A-League,weekday,weekday,weekday
A-League,A-League,captain,captain,captain
A-League,A-League,founded,founded,founded
A-League,A-League,head coach,coach,head
A-League,A-League,joined,joined,joined
A-League,A-League,location,location,location
A-League,A-League,stadium,stadium,stadium
A-League,A-League,team,team,team
Algeria at the Summer Olympics,Olympics,athlete,athlete,athlete
Algeria at the Summer Olympics,Olympics,event,event,event
Algeria at the Summer Olympics,Olympics,quarterfinals,quarterfinals,quarterfinals
Algeria at the Summer Olympics,Olympics,round of 16,16,round
Algeria at the Summer Olympics,Olympics,round of 32,32,round
Algeria at the Summer Olympics,Olympics,semifinals,semifinals,semifinals
AliaÄŸa Petkim,Petkim,european competitions,competitions,european
AliaÄŸa Petkim,Petkim,league,league,league
AliaÄŸa Petkim,Petkim,pos,pos,pos
AliaÄŸa Petkim,Petkim,season,season,season
AliaÄŸa Petkim,Petkim,tier,tier,tier
AliaÄŸa Petkim,Petkim,turkish cup,cup,turkish
All That episodes,episodes,episode title,title,episode
All That episodes,episodes,nick prod,prod,nick
All That episodes,episodes,original air date,date,original
All That episodes,episodes,season,season,season
All That episodes,episodes,series,series,series
Allegheny Mountain Collegiate Conference,Conference,enrollment,enrollment,enrollment
Allegheny Mountain Collegiate Conference,Conference,founded,founded,founded
Allegheny Mountain Collegiate Conference,Conference,institution,institution,institution
Allegheny Mountain Collegiate Conference,Conference,joined,joined,joined
Allegheny Mountain Collegiate Conference,Conference,location,location,location
Allegheny Mountain Collegiate Conference,Conference,nickname,nickname,nickname
Allegheny Mountain Collegiate Conference,Conference,type,type,type
All-Ireland Senior Football Championship,Championship,average,average,average
All-Ireland Senior Football Championship,Championship,county,county,county
All-Ireland Senior Football Championship,Championship,matches,matches,matches
All-Ireland Senior Football Championship,Championship,player,player,player
All-Ireland Senior Football Championship,Championship,tally,tally,tally
All-Ireland Senior Football Championship,Championship,total,total,total
All-Ireland Senior Hurling Championship,Championship,county,county,county
All-Ireland Senior Hurling Championship,Championship,opposition,opposition,opposition
